school_id,pct_proficient_math,pct_proficient_reading,pct_white,pct_black,pct_asian,pct_hispanic,pct_amerindian,pct_nativehawaii,pct_tworaces
370001100433,18.0,34.999999,9.7859,68.0122,1.5291,12.7217,1.0398,0.7951,6.1162
370001100436,24.000001,47.0,35.6341,41.8631,0.9540000000000001,12.1212,2.9742,0.5051,5.9484
370001100445,16.999999,37.0,13.1509,66.3725,1.2357,11.0327,0.9709,0.9709,6.2665
370001102124,22.0,31.999999,12.594000000000001,71.1466,0.5639,9.1165,0.5639,1.1278,4.8872
370001102132,46.999999,62.000001,17.8125,68.125,0.625,7.5,0.3125,0.0,5.625
370001102134,42.0,56.0,38.2306,37.9937,6.3981,8.8468,1.5798,0.237,6.7141
370001102512,57.000001,75.999999,42.8645,30.3452,4.2761,12.2102,1.185,0.5152,8.6038
370001102663,31.0,57.000001,55.8935,23.8783,1.0646,9.962,3.27,0.076,5.8555
370001102756,64.499998,74.500001,14.17,57.085,2.8339999999999996,16.5992,0.0,0.0,9.3117
370001102757,44.51515,84.485713,22.561,52.43899999999999,0.6098,15.8537,1.2195,0.6098,6.7073
370001103228,54.500001,62.000002,14.5299,54.7009,3.8462,19.2308,0.8547,0.0,6.8376
370001201491,27.0,27.0,46.299,37.7358,0.0,12.9173,0.0,0.0,3.0479
370001201495,43.000001,51.000001,60.3406,24.6959,2.0073,9.9148,0.3041,0.0,2.7372
370001201497,27.0,37.000001,31.4249,60.1781,0.6361,5.8524,0.1272,0.2545,1.5267
370001201502,32.000002,27.0,25.8451,49.9455,0.1091,22.4646,0.0,0.0,1.6358
370001202142,27.999999,44.999998,33.8889,55.9028,2.3611,5.9028,0.0694,0.0694,1.8056
370001202616,28.0,39.0,31.2039,58.4767,1.5971,4.7297,0.2457,0.1843,3.5627
370003000006,51.0,45.000001,61.1465,21.8949,0.5573,11.7834,0.7166,0.3185,3.5828
370003000009,27.000001,27.0,23.6318,29.4776,1.99,40.1741,0.3731,0.0,4.3532
370003000016,41.000002,41.999999,77.2168,7.5728,0.8414,10.9385,0.5178,0.1294,2.7832
370003000019,41.999999,46.999999,76.6423,10.7056,1.4599,8.0292,0.1622,0.0,3.0008
370003000202,31.999999,27.0,5.794,40.7725,1.073,49.1416,0.2146,0.2146,2.7897
370003000207,42.000002,53.000002,38.255,32.3826,3.5235,20.8054,0.5034,0.0839,4.4463
370003002972,,,71.7949,15.3846,0.0,10.2564,1.2821,0.0,1.2821
370009000028,43.999998,45.000001,85.7589,3.935,1.6864,5.7464,0.2498,0.0,2.6234
370009702494,91.999998,97.49645500000001,66.1896,4.8301,21.4669,3.9356,0.0,0.0,3.5778
370012000037,42.0,51.999999,84.141,0.2203,0.0,13.8767,0.4405,0.0,1.3216
370012202591,15.0,24.485713,1.0989,95.6044,0.0,1.6484,0.0,0.0,1.6484
370012802613,71.999999,77.000001,88.5645,2.9197,2.6764,2.1898,0.0,0.4866,3.1630000000000003
370013602739,10.0,30.000001,35.1351,51.3514,0.9009,6.3063,0.0,0.9009,5.4054
370018002054,7.5,17.0,24.4866,68.4044,1.8957,3.4755,0.158,0.0,1.5798
370018002748,5.0,61.999999,52.8205,36.4103,5.1282,2.0513,0.5128,0.0,3.0769
370018002973,5.0,15.0,52.1212,38.7879,1.8182,3.6364,0.6061,0.0,3.0303
370021002425,46.999999,52.0,90.0315,0.7345,0.2099,7.1354,0.2099,0.0,1.6789
370024000062,26.999999,39.999999,40.8085,13.8825,2.1358,39.5881,0.2288,0.0,3.3562
370027000070,47.0,57.000001,58.4022,26.4463,1.2856,6.4279,0.0918,0.0,7.3462
370027002749,74.50909,92.000002,74.5819,10.3679,3.6789,6.689,0.0,0.0,4.6823
370030000081,32.000002,36.999999,87.3057,0.5181,0.5181,10.3627,0.0,0.0,1.2953
370030003229,69.499997,69.499997,89.6552,0.5747,0.0,8.6207,0.0,0.0,1.1494
370030003230,,,89.4737,0.0,0.0,10.5263,0.0,0.0,0.0
370033001926,27.000001,42.0,42.9952,38.9372,0.4831,14.2029,0.0966,0.0966,3.1884
370033002224,37.0,41.999999,69.9153,18.0085,0.0,10.1695,0.0,0.0,1.9068
370033002504,32.0,27.000001,47.0721,38.0631,0.0,7.4324,0.6757,0.0,6.7568
370033003011,64.499998,84.499998,59.4714,15.859000000000002,1.3216,19.3833,0.8811,0.0,3.0837
370036000101,7.5,12.0,9.2784,88.2474,0.0,1.2371,0.6186,0.0,0.6186
370036002918,49.51724,69.517241,18.9394,77.2727,0.0,0.7576,1.5152,0.0,1.5152
370036003149,34.490196000000005,64.509807,35.7576,58.7879,0.0,2.4242,1.2121,0.0,1.8182
370038203336,2.4929580000000002,15.0,1.81,72.8507,1.81,20.8145,0.0,0.0,2.7149
370039000116,22.0,31.999999,31.5789,52.7864,0.3096,10.9907,1.2384,0.0,3.096
370039002620,17.0,36.999999,48.0154,29.5775,0.128,15.493,1.9206,0.0,4.8656
370042000125,32.000001,46.999999,55.2481,26.2405,0.5725,11.5458,1.2405,0.2863,4.8664
370042000127,36.999999,47.000002,81.7851,10.3825,0.2732,4.0073,0.8197,0.0911,2.6412
370042000132,42.0,48.999998,71.7647,15.4412,0.8088,8.8971,0.8088,0.0,2.2794
370042002898,86.999997,97.492959,72.1408,6.7449,1.7595,11.7302,0.2933,0.0,7.3314
370045000133,49.000001,66.0,74.4065,9.4955,2.4481,7.7151,0.0742,0.0,5.8605
370045000142,41.999999,56.999999,81.1297,4.2362,1.2837,8.6008,0.5135,0.0,4.2362
370045000143,33.000001,40.000002,67.1687,7.756,1.0542,18.5994,0.8283,0.3765,4.2169
370045000147,31.0,49.0,82.4576,1.9402,0.8892,11.6411,0.0808,0.0,2.9911
370045000156,52.0,56.999999,86.9955,0.2691,0.4484,9.0583,0.6278,0.0,2.6009
370045000164,63.0,64.0,68.0075,11.3136,3.0798,12.6336,0.2514,0.0629,4.6512
370045002661,74.491527,94.999997,80.4511,1.8797,3.7594,10.9023,0.3759,0.0,2.6316
370048000174,36.999999,42.000001,85.671,0.6054,6.3572,4.6418,0.0,0.1009,2.6236
370048000176,37.0,52.0,67.4873,12.4788,6.1121,8.488999999999999,0.0849,0.4244,4.9236
370048002832,52.0,51.999999,72.0747,2.7532,2.5565,19.469,0.3933,0.0,2.7532
370048002836,66.999997,57.000001,80.1939,2.7701,7.2022,5.6787,0.27699999999999997,0.1385,3.7396
370048002908,,,67.5,1.6667,24.1667,3.3333,0.8333,0.0,2.5
370053000210,42.999999,51.000001,54.3785,24.1525,1.6243,15.0424,0.565,0.1412,4.096
370053000215,37.000001,52.000001,87.0036,4.9338,0.9627,4.0915,1.3237,0.1203,1.5644
370053000216,47.0,53.999998,56.7613,21.7028,1.419,16.1102,0.1669,0.0835,3.7563
370053000378,39.0,43.999999,50.638999999999996,27.9553,1.6773,16.7732,0.2396,0.0799,2.6358
370053002570,42.000001,46.000001,52.2778,23.0769,1.7177,20.0896,0.0747,0.1494,2.6139
370053002833,64.999997,71.999997,68.6586,18.4361,4.3865,4.9587,0.6993,0.1907,2.6701
370053002975,10.0,30.000001,77.8571,11.4286,0.0,7.1429,0.7143,0.0,2.8571
